1, 1 
2, 1 
3, 1 
4, 1 
5, 1 
6, 1 
7, 1 
8, 1 
9, 1 
10, 2 
11, 2 
12, 2 
13, 2 
14, 2 
15, 2 
16, 2 
17, 2 
18, 2 
19, 1 
20, 1 
21, 1 
22, 1 
23, 1 
24, 1 
25, 1 
26, 1 
27, 1 
28, 3 
29, 3 
30, 3 
31, 3 
32, 3 
33, 3 
34, 3 
35, 3 
36, 3 
37, 1 
38, 1 
39, 1 
40, 1 
41, 1 
42, 1 
43, 1 
44, 1 
45, 1 
46, 4 
47, 4 
48, 4 
49, 4 
50, 4 
51, 4 
52, 4 
53, 4 
54, 4 
55, 1 
56, 1 
57, 1 
58, 1 
59, 1 
60, 1 
61, 1 
62, 1 
63, 1 
64, 1 
65, 1 
66, 1 
67, 1 
68, 1 
69, 1 
70, 1 
71, 1 
72, 1 
73, 1 
74, 1 
75, 1 
76, 1 
77, 1 
78, 1 
79, 1 
80, 1 
81, 1 
