1, 1 
2, 1 
3, 1 
4, 1 
5, 1 
6, 2 
7, 2 
8, 2 
9, 2 
10, 2 
11, 1 
12, 1 
13, 1 
14, 1 
15, 1 
16, 3 
17, 3 
18, 3 
19, 3 
20, 3 
21, 4 
22, 4 
23, 4 
24, 4 
25, 4 
26, 4 
27, 4 
28, 4 
29, 4 
30, 4 
31, 4 
32, 4 
33, 4 
34, 4 
35, 4 
36, 2 
37, 2 
38, 2 
39, 2 
40, 2 
41, 3 
42, 3 
43, 3 
44, 3 
45, 3 
46, 1 
47, 1 
48, 1 
49, 1 
50, 1 
51, 2 
52, 2 
53, 2 
54, 2 
55, 2 
56, 3 
57, 3 
58, 3 
59, 3 
60, 3 
61, 1 
62, 1 
63, 1 
64, 1 
65, 1 
66, 3 
67, 3 
68, 3 
69, 3 
70, 3 
71, 4 
72, 4 
73, 4 
74, 4 
75, 4 
76, 2 
77, 2 
78, 2 
79, 2 
80, 2 
81, 1 
82, 1 
83, 1 
84, 1 
85, 1 
86, 2 
87, 2 
88, 2 
89, 2 
90, 2 
91, 4 
92, 4 
93, 4 
94, 4 
95, 4 
96, 2 
97, 2 
98, 2 
99, 2 
100, 2 
101, 2 
102, 2 
103, 2 
104, 2 
105, 2 
106, 2 
107, 2 
108, 2 
109, 2 
110, 2 
111, 2 
112, 2 
113, 2 
114, 2 
115, 2 
116, 4 
117, 4 
118, 4 
119, 4 
120, 4 
121, 4 
122, 4 
123, 4 
124, 4 
125, 4 
